scene,floor,question,question,primary_object,choices,question_formatted,answer,label
00547-9h5JJxM6E5S,0,Guest is coming. Is the fruit bowl on the kitchen island already?,Guest is coming. Is the fruit bowl on the kitchen island already?,fruit bowl,"['Yes', '(Do not choose this option)', 'No', '(Do not choose this option)']",Guest is coming. Is the fruit bowl on the kitchen island already? A) Yes B) (Do not choose this option) C) No D) (Do not choose this option). Answer:,C,existence
00557-fRZhp6vWGw7,1,I'm trying to remember where I placed the decorative wicker basket. Where is it?,I'm trying to remember where I placed the decorative wicker basket. Where is it?,decorative wicker basket,"['In the hallway', 'On the shelf in the closet', 'In the bedroom on the floor', 'In the bathroom']",I'm trying to remember where I placed the decorative wicker basket. Where is it? A) In the hallway B) On the shelf in the closet C) In the bedroom on the floor D) In the bathroom. Answer:,C,location
00557-fRZhp6vWGw7,1,Is there any box in the hallway needs to be moved? Guest is coming.,Is there any box in the hallway needs to be moved? Guest is coming.,box,"['Yes', '(Do not choose this option)', 'No', '(Do not choose this option)']",Is there any box in the hallway needs to be moved? Guest is coming. A) Yes B) (Do not choose this option) C) No D) (Do not choose this option). Answer:,C,existence
00567-KjZrPggnHm8,0,Where did my husband leave the coffee machine at in the kitchen?,Where did my husband leave the coffee machine at in the kitchen?,coffee machine,"['On the dining table', 'On the island', 'On the shelf', 'On the countertop']",Where did my husband leave the coffee machine at in the kitchen? A) On the dining table B) On the island C) On the shelf D) On the countertop. Answer:,D,location
00569-YJDUB7hWg9h,0,I'm expecting a package and I think it might have been left by the door. Is there a package near the main entrance?,I'm expecting a package and I think it might have been left by the door. Is there a package near the main entrance?,package,"['(Do not choose this option)', 'Yes', '(Do not choose this option)', 'No']",I'm expecting a package and I think it might have been left by the door. Is there a package near the main entrance? A) (Do not choose this option) B) Yes C) (Do not choose this option) D) No. Answer:,D,existence
00569-YJDUB7hWg9h,0,How many sets of utensils are there on the dining table?,How many sets of utensils are there on the dining table?,utensils,"['Two', 'None', 'Three', 'One']",How many sets of utensils are there on the dining table? A) Two B) None C) Three D) One. Answer:,B,count
00582-TYDavTf8oyy,1,How many potted plants are on the kitchen windowsill?,How many potted plants are on the kitchen windowsill?,potted plants,"['Four', 'Five', 'Two', 'Three']",How many potted plants are on the kitchen windowsill? A) Four B) Five C) Two D) Three. Answer:,D,count
00582-TYDavTf8oyy,1,I'm trying to remember where I placed the candle holder. Where is it in the dining room?,I'm trying to remember where I placed the candle holder. Where is it in the dining room?,candle holder,"['On the window sill', '(Do not choose this option)', 'On the sideboard', 'On the dining table']",I'm trying to remember where I placed the candle holder. Where is it in the dining room? A) On the window sill B) (Do not choose this option) C) On the sideboard D) On the dining table. Answer:,C,existence
00582-TYDavTf8oyy,2,How many laundry baskets are in the bedroom with the white bedspread?,How many laundry baskets are in the bedroom with the white bedspread?,laundry baskets,"['Two', 'One', 'Three', 'None']",How many laundry baskets are in the bedroom with the white bedspread? A) Two B) One C) Three D) None. Answer:,A,count
00591-JptJPosx1Z6,0,How many kitchen bar stools are there right now?,How many kitchen bar stools are there right now?,kitchen bar stools,"['Two', 'Three', 'One', 'None']",How many kitchen bar stools are there right now? A) Two B) Three C) One D) None. Answer:,A,count
00592-CthA7sQNTPK,2,Which hand towel is at the right side of the bathroom counter?,Which hand towel is at the right side of the bathroom counter?,hand towel,"['Yellow one', 'White one', 'Blue one', 'Gray one']",Which hand towel is at the right side of the bathroom counter? A) Yellow one B) White one C) Blue one D) Gray one. Answer:,C,identification
00606-W16Bm4ysK8v,0,Is the garage door open or closed?,Is the garage door open or closed?,garage door,"['Open', 'Closed', '(Do not choose this option)', '(Do not choose this option)']",Is the garage door open or closed? A) Open B) Closed C) (Do not choose this option) D) (Do not choose this option). Answer:,B,state
00606-W16Bm4ysK8v,2,Which rug is there in the bathroom?,Which rug is there in the bathroom?,rug,"['Blue one', 'Black one', 'Yellow one', 'White one']",Which rug is there in the bathroom? A) Blue one B) Black one C) Yellow one D) White one. Answer:,D,identification
00669-DNWbUAJYsPy,0,I wanna shower now. Is there any towel there?,I wanna shower now. Is there any towel there?,towel,"['(Do not choose this option)', 'No', '(Do not choose this option)', 'Yes']",I wanna shower now. Is there any towel there? A) (Do not choose this option) B) No C) (Do not choose this option) D) Yes. Answer:,D,existence
00688-SgkmkWjjmDJ,0,Which fruit are on the kitchen island?,Which fruit are on the kitchen island?,fruit,"['Tomatoes', 'Apples', 'Pears', 'Grapes']",Which fruit are on the kitchen island? A) Tomatoes B) Apples C) Pears D) Grapes. Answer:,C,identification
00706-YHmAkqgwe2p,0,I am looking for the broom.,I am looking for the broom.,broom,"['In the laundry room', 'In the kitchen', 'In the hallway', 'In the dining room']",I am looking for the broom. A) In the laundry room B) In the kitchen C) In the hallway D) In the dining room. Answer:,A,location
00712-HZ2iMMBsBQ9,0,Which throw pillows are on the bed? I shall replace them.,Which throw pillows are on the bed? I shall replace them.,throw pillows,"['Red', 'Dark blue', 'Black', 'Dark yellow']",Which throw pillows are on the bed? I shall replace them. A) Red B) Dark blue C) Black D) Dark yellow. Answer:,D,count
00720-8B43pG641ff,0,Did my daughter remember to put the piano lid down?,Did my daughter remember to put the piano lid down?,piano lid,"['No, it is up', '(Do not choose this option)', 'Yes, it is down', '(Do not choose this option)']","Did my daughter remember to put the piano lid down? A) No, it is up B) (Do not choose this option) C) Yes, it is down D) (Do not choose this option). Answer:",A,state
00720-8B43pG641ff,0,How many chairs do we have around the outdoor dining table?,How many chairs do we have around the outdoor dining table?,chairs,"['Six', 'Four', 'Eight', 'Two']",How many chairs do we have around the outdoor dining table? A) Six B) Four C) Eight D) Two. Answer:,A,count
00745-yX5efd48dLf,0,I'm trying to remember where I placed my zebra-striped armchair. Where is it?,I'm trying to remember where I placed my zebra-striped armchair. Where is it?,zebra-striped armchair,"['In the bedroom', 'In the living room', 'In the kitchen', 'In the hallway']",I'm trying to remember where I placed my zebra-striped armchair. Where is it? A) In the bedroom B) In the living room C) In the kitchen D) In the hallway. Answer:,A,location
00757-LVgQNuK8vtv,0,I'm trying to remember where I placed my decorative zebra-patterned stool. Where is it?,I'm trying to remember where I placed my decorative zebra-patterned stool. Where is it?,zebra-patterned stool,"['Near the staircase', 'In the coat closet', 'In the kitchen', 'In the dining room']",I'm trying to remember where I placed my decorative zebra-patterned stool. Where is it? A) Near the staircase B) In the coat closet C) In the kitchen D) In the dining room. Answer:,A,location
00757-LVgQNuK8vtv,0,How many pairs of long boots are in the coat closet?,How many pairs of long boots are in the coat closet?,long boots,"['Three pairs', 'Two pairs', 'Four pairs', 'One pair']",How many pairs of long boots are in the coat closet? A) Three pairs B) Two pairs C) Four pairs D) One pair. Answer:,D,count
00757-LVgQNuK8vtv,2,"What did I leave on the toilet, the one with flower painting?","What did I leave on the toilet, the one with flower painting?",toilet,"['Towels', 'Clothes', 'Shampoo', 'Tissues']","What did I leave on the toilet, the one with flower painting? A) Towels B) Clothes C) Shampoo D) Tissues. Answer:",D,identification
